,Discription,Name,Age,Date,Sex,Size,Color,Education,Breed,Adjusted to
0,"וגאס ננטש כמו חפץ משומש אחרי שחי כל חייו בבית. יפיוף שריסקו את הלב שלו לאלף ואחת חתיכות. וגאס לוקח חלק בפרוייקט #אומנהלחיים אימוץ ללא עלות עבור הכלבים המבוגרים שלנו, כולל טיפולים מותאמים לגילו ושני שקי מזון מתנת ביופט – אוהבים כלבים.וגאס לחוץ מאוד במפגש ראשון ולכן גם ינבח מלא כשתעברו ליד הכלוב שלו. תוציאו אותו לסיבוב של הכרות, הוא יפתח לאהבה, תעשו #מקוםבלב ובואו נוציא אותו הביתה לתמיד..",וגאס,9,11-07-2014,זכר,בינוני,לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
1,"היא אחת המדהימות שיש, אוהבת לשחק ובלי סוף להתפנק אבל לילה ננטשה כבר משלושה בתים (!!) כי היתה טריטוריאלית בבית לאורחים. לילה עכשיו מחכה למאמצים עם ניסיון, אנחנו מבטיחים שהיא תעניק אהבה- והמון!.",לילה,3 שנים,20-02-2020,נקבה,בינוני,שחור,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
2,"הכי מיוחד ומדהים שיש, כמה עדינות ומתיקות, ועיניים שמדברות ורוצות כבר להגיע לבית מפנק. מארלי המתוק, כלבלב שמסתובב על 3 רגליים וכבר יותר מדי זמן, לא מוצא לעצמו בית. הוא מאוד אוהב לשחק עם חבריו הכלבים, הוא נפתח בעדינות והופך לממרח, עם קצת סבלנות..",מארלי,שנה,22-03-2022,זכר,בינוני,שחור,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר"
3,"כלבלבונת עם עיינים עצובות, קרינה נמצאה עם הגורים שלה והניקה אותם וטיפלה בהם במסירות ואהבה. מבני אדם היא חוששת. נראה שחוותה הרבה והיתה צריכה לשמור על עצמה. היא זקוקה למאמצים עם ניסיון וסבלנות, שיתנו לה, בזמן שלה, ללמוד לבטוח ולהפתח לאהבה שכל כך מגיעה לה..",קרינה,שנתיים,10-02-2022,נקבה,בינוני,חום,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים"
4,"כשתעברו ליד הכלוב של קוקי, רב הסיכויים הם שלא תראו אותה. וחבל. כי מדובר בבובה אמיתית, פשוט סופר ביישנית. אז כשעוברים אנשים היא נובחת ובורחת אחורה והמתיקות הבלתי נגמר בכלוב לבדה נשארת…תגיעו אלינו ותבקשו להכיר את קוקי! ילדונת חמודה, עדינה ומקסימה.",קוקי,שנתיים,07-03-2021,נקבה,בינוני,שחור לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים"
5,"במשך יותר מדי זמן, ציון הסתובב עם רגליים שבורות וכואבות. אנחנו יודעים שזה המון זמן, כי כבר נוצר בגופו זיהום מסוכן. שבועות ארוכים הוא היה מאושפז, טופל והחלים לגמרי ואי אפשר לתאר במילים את האושר, כשרואים אותו הולך ומחייך..כשאתה לבד ואף אחד לא עוזר לך, אתה מסתדר וכבר חושד בכולם. וציון שלנו, בעקבות הנסיון לשרוד, ללא הצלחה, לבדו, מתקשה כעת גם לסמוך על בני אדם. אז הוא צריך להכיר לאט, להסיר חומות לאט, ואז נחשף הלב הרגיש שזקוק לאהבה, כמו כל אחד..",ציון,4 שנים,01-02-2020,זכר,בינוני,חום לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
6,"ליזה המתוקה הגיעה אלינו מהדרום הרחוק, כמעט ללא פרווה, היתה כל כך חלשה ואומללה. היא סבלה ממחלת עור, טופלה, החלימה והצמיחה פרווה חדשה, אבל הלב נותר חושש נורא. כלבה עדינה שזקוקה לכמה מפגשים כדי להפתח והכי שווה את ההשקעה..",ליזה,שנתיים,16-11-2021,נקבה,בינוני,חום לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר"
7,"הממתק העדין הזה הגיע אלינו אחרי שחתכו לו את האוזניים והזנב באכזריות בלתי נתפסת! מאוריצ'יו המתוק, מאז, בצדק, חושש מבני אדם. אבל הוא עבר תהליך מדהים, הוא לומד לתת אמון ונתפח למגע ואהבה, שזה מרגש כל כך..הוא מחונך, מאולף, ורק זקוק לקצת סבלנות כדי שיפרח.",מאוריציו,שנה,01-06-2022,זכר,בינוני,שחור לבן,חינוך בסיסי,מעורב,"אנשים שכבר גדלו כלב בעבר, בית עם חתולים, ילדים, ספורטאים"
8,"את אינדירה המקסימה הוצאנו מכלביית המוות בצור משה, אחרי שסגרו את הכלבייה כי התנאים היו מזעזעים והתעללו שם בכלבים. המקסימה הזאת, אין לדעת מה חוותה בידי המפלצות, אבל ברור שמגיע לה עכשיו לזכות בכי טוב שיש! היא זקוקה למאמצים עם סבלנות ונסיון לתקן לב מדמם שמגיע לו להחלים ולהתאהב..",אינדירה,5 שנים,06-02-2019,נקבה,בינוני,חום לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר"
9,"כשמשחררים אותך אחרי שהיית קשור במשך כל כך הרבה זמן- איך לא תהיה כזה מאושר?.בון המהמם שלנו, נמצא בתור גור קטן בתוך פח זבל. אחר כך אומץ והיה קשור כל חייו בחצר הבית ואז ננטש. כמה סבל אפשר להעביר נפש טהורה כל כך..אהוב מקסים, שכל חייו סבל וכל כך מגיע לו להיות מאושר. הוא אוהב לטייל וכל כך מתוסכל כשהטיול נגמר והוא צריך לחזור לכלוב. הוא ינבח מלא כשתעברו ליד הכלוב שלו, אבל אם תתנו לו הזדמנות, תצאו איתו לטיול ותכירו אותו באמת, תגלו שם את אותו גור קטן שבסך הכל רוצה שיאהבו אותו ויתנו לו בית מחבק ואוהב באמת..בון לוקח חלק בפרויקט #אומנהלחיים אימוץ ללא עלות, כולל טיפולים רפואיים, בהתאם לגילו, עלינו ו-2 שקי מזון.",בון,8 שנים,23-06-2015,זכר,בינוני,חום לבן,מאולף,"מעורב, כנעני","אנשים שכבר גדלו כלב בעבר, ספורטאים"
10,"כלבלבונת עדינה וחששנית ששוברת את הלב. איתמר הגיעה אלינו אחרי שנדרסה והיתה במצב קשה. הבובה הזאת עברה ניתוחים אורטפדיים ואישפוז ארוך, הלב, עוד זקוק לתיקון ולכך דרושים מאמצים עם סבלנות ואהבה, כדי שאיתמר תוכל למלא את הבית בעדינות ובקסם שלה..",איתמר,5 שנים,07-11-2018,נקבה,בינוני,חום שחור,חינוך בסיסי,מעורב,"ילדים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים"
11,"אשכול המתוק נמצא עם כף רגל שנקשרה בחוט תיל מהודק שגרם לנמק נוראי. הוא טופל במשך זמן ארוך, כף הרגל החלימה, עד כמה שניתן וכעת המדהים הזה רק מחכה לבית חם! כלב מקסים, עדין עם עיניים טובות, יעניק אהבה ללא גבולות. אשכול לוקח חלק בפרויקט #אומנהלחיים אימוץ ללא עלות, כולל טיפולים רפואיים-עלינו ו-2 שקי מזון מתנת אורבן צ'ויס.",אשכול,6 שנים,03-10-2017,זכר,גדול,חום לבן,חינוך בסיסי,"מעורב, לברדור",ילדים
12,"דועך בכלוב, צ'ייס שלנו העצוב, כלב בן 10, אחד הכלבים האומללים בכלבייה. צ'ייס הגיע אילנו לפני שש שנים, אחרי שנמצא במצב הזנחה נוראי. השבב הוביל לבעלים שאמרו שמסרו אותו מיד ליד..כלב שחווה חיים מזעזעים ולא סומך על אף אחד..הוא חירש, יש לו בעיות בעור מתת פעילות של בלוטת התריס, האגן שלו, כמו כל רועה גרמני, הולך ונחלש. ומכיוון וחירש ומכיוון ועבר חיים כל כך קשים, הוא לפעמים גם לא צפוי בכל מה שקשור למגע..קשה למצוא מישהו שיקבל אותו במצבו הפיזי והנפשי והעיניים שלו מספרות כמה הוא יודע את זה..אנחנו חייבים לנסות בשבילו כי אולי, איפשהו יש מישהו שרוצה להציל חיים שלמים שהתבזבזו..צ'ייס לוקח חלק בפרויקט #אומנהלחיים אימוץ ללא עלות עבור הכלבים המבוגרים שלנו, כולל טיפולים רפואיים במידת הצורך, ושני שקי מזון גדולים.",צ'ייס,11 שנים,06-09-2012,זכר,גדול,חום שחור,חינוך בסיסי,רועה גרמני,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
13,"הכלבלב עם האוזניים הכי ארוכות בעולם, מחכה לשמוע מילים חמות ואוהבות ולזכות בבית מפנק מאוד! דונאלד המהמם! חמידות שיא של כלבלב עדין ומקסים ימלא את הבית במלא כישכושים..",דונאלד,שנה,22-06-2022,זכר,בינוני,חום לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים, בית עם חתולים"
14,"פישר היפיופון, פצצת אנרגיה מלא בשמחת חיים, מחכה למאמצים נמצא משוטט לבדו והגיע אלינו כדי לזכות בבית שיבטיח להיות שלו- לתמיד..",פישר,שנתיים,06-02-2022,זכר,בינוני,חום לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים"
15,"זה יהודה המתוק שנמצא, כשהיה עוד גור קטנטן,  נטוש עם רגל שבורה וכואבת. הרגל טופלה מזמן והממתק המשגע הזה לא מפסיק לחלק אהבה כל הזמן!.",יהודה,6 שנים,23-11-2017,זכר,בינוני,בז',חינוך בסיסי,מעורב,"אנשים שכבר גדלו כלב בעבר, בית עם חתולים, ילדים, ספורטאים"
16,"כלב מקסים אבל לחוץ, אומץ בתור גור קטן ואז הוחזק בחצר קשור! פאבלו המתוק מחכה עכשיו למאמצים עם ניסיון וסבלנות, כדי שיוכל להפתח ולהיות כלב מאושר ולהשאיר את העבר הנוראי מאחור.",פבלו,3 שנים,11-06-2020,זכר,גדול,חום,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
17,"במהלך המלחמה, טוי ננטשה כי הבעלים אמר שהיא מפוחדת שם מכל הפיצוצים…וכך, מצאה עצמה טוי, שכל חייה חשבה שהיא מוגנת-בין סורגים. כלבה שעברה שיברון לב קשה ועכשיו, איך לא, קצת חשדנית. בסבלנות ובבית שקט היא תפרח ותעניק אהבה מכל הלב..",טוי,5 שנים,23-01-2019,נקבה,בינוני,אפור,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
18,"הוא כזה ילד טוב והמבט הזה, כל כך מבקש אהבה. רוקי האהוב שלנו, כבר שנים מחכה לזכות לנח ולהתעצל, כמו שהוא כל כך אוהב, במיטה נוחה, בבית חם, בשקט, בלי נביחות כלבים ומאות אנשים, שחולפים ליד הכלוב שלו- ואף פעם לא בוחרים בו..הוצאנו אותו מהסגר, לפני 3 שנים ולאט ובעדינות, גילינו כלבלב מתוק, עדין ומקסים שממש מחכה שמישהו כבר יאהב אותו. רוקי בן 8, הוא לוקח חלק בפרויקט #אומנהלחיים אימוץ ללא עלות עבור הכלבים המבוגרים שלנו, כולל טיפולים רפואים בהתאם לגילו-עלינו ו-2 שקי מזון גדולים מתנת אורבן צ'ויס..",רוקי,7 שנים,01-04-2016,זכר,בינוני,חום לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
19,"אייס הגיע אלינו כשהיה בן פחות משנה, הוא אמץ ואחרי 5 שנים בבית ננטש עם לב מרוסק כשקפץ על רוכב אופניים. אייס רוצה לחזור עכשיו לבית שיבטיח להיות שלו לחיים שלמים. אייס לוקח חלק בפרויקט #אומנהלחיים אימוץ ללא עלות, כולל טיפולים רפואיים, בהתאם לגילו, עלינו ו-2 שקי מזון מתנת אורבן צ'ויס.",אייס,7 שנים,20-04-2016,זכר,בינוני,חום,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר"
20,"בארי הג'ינג'י המנומש הגיע אלינו בתור גור קטן. הוא אומץ וחזר כי לא הסתדר עם הילדים בבית ועכשיו מחכה למאמצים, בבית בלי ילדים קטנים, מאמצים שיבטיחו לו לתמיד, להיות למשפחה..",בארי,4 שנים,01-02-2020,זכר,בינוני,חום לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
21,"את קני אימצו בתור גור קטן ואחרי 5 שנים בבית נטשו לכלוב עם לב מרוסק. כלב לחוץ, שלוקח לו זמן להסיר את החומות שבנה בעקבות הנטישה הקשה. קני מקווה להגיע הפעם לבית שיודע שלאמץ זה להפוך אותו לתמיד, לחלק בלתי נפרד מהמשפחה. קני לוקח חלק בפרויקט  #אומנהלחיים אימוץ ללא עלות עבור הכלבים המבוגרים שלנו, כולל טיפולים רפואיים, בהתאם לגילו- עלינו, ו-2 שקי מזון מתנת אורבן צ'ויס.",קני,7 שנים,06-04-2016,זכר,בינוני,חום לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים"
22,"הוא יפיוף אבל זקוק למאמצים עם ניסיון בבית בלי ילדים קטנים. כי קאי עבר כנראה חיים לא פשוטים ועכשיו כשלחוץ עלול לתקוף. כלב שריסקו לו את הלב וזקוק לתיקון בבית שיבטיח לתמיד, בטוב וגם ברע, להיות לו למשפחה..",קאי,3 שנים,11-02-2021,זכר,בינוני,אפור,חינוך בסיסי,האסקי,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
23,"אחד המתוקים שיש, כל היום בזנבו רק מכשכש! פונץ' הממתק הגיע אלינו עם רגל פצועה שלצערנו לא ניתן היה להציל. על 3 רגליים הוא מאושר עד השמיים, מחלק אהבה ומתיקות אין סופיתץ פונץ' מלא בשמחת חיים, מסתדר עם כלבים וכל סוגי האנשים, יכול להיות קצת חשדן כשלא מכיר..",פונץ',3 שנים,03-11-2020,זכר,בינוני,חום שחור,מאולף,מעורב,"ספורטאים, ילדים"
24,"נרלי המתוק, ננטש מבית עם לב שבור. כלבלב מקסים שמחלק אהבה בלי סוף ומחכה למאמצים שיבטיחו לתמיד להיות שלו..",נרלי,שנתיים,05-07-2021,זכר,בינוני,חום לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים"
25,"כלבה עדינה וחששנית עם כף רגל חסרה, שלא מפריעה לה להסתובב אבל מקשה עליו למצוא בית אוהב. תמרה המתוקה, כלבה שזקוק למאמצים עם הרבה סבלנות ורצון לעזור לה להסיר את החומות ולזכות בבית שיאהב בלי סוף.",תמרה,7 שנים,05-04-2016,נקבה,קטן,חום לבן,חינוך בסיסי,מעורב,"ילדים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים"
26,"מאירה המתוקה, כלבה אומללה שהוחזקה בכלביית המוות, שלשמחתנו הצלחנו לסגור. אבל הטראומה שחוותה, האלימות וההזנחה, השאירו לב כואב מאוד. כלבה עדינה וחששנית, שזקוקה למאמצים סבלניים ואוהבים שרוצים לתקן עוול שנגרם לכלבה כל כך צעירה שרק התחילה את החיים..",מאירה,שנה,18-01-2023,נקבה,בינוני,שחור,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים"
27,"צ'ופצ'יק המתוק הגיע אלינו בתור גור קטן, אומץ ואז לכלוב חזר עם לב מרוסק. מאז הוא קצת חשדן, ובצדק, הוא מחכה למאמצים עם ניסיון ואז יאהב ויצחיק המון.",צ'ופצ'יק,תשעה חודשים עד שנה,22-03-2023,זכר,בינוני,חום לבן,חינוך בסיסי,מעורב,"בית עם חתולים, ספורטאים, אנשים שכבר גדלו כלב בעבר"
28,"כלבה מקסימה וכובשת שהוצאנו מהסגר כדי להעניק לה עתיד טוב יותר. פיפה המקסימה, כלבה חברותית ואוהבת שמאוד זקוקה לאהבה מחבקת.",פיפה,9,15-01-2015,נקבה,בינוני,חום לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים"
29,"זאת הקציצה הכי מתוקה בעולם כולו!!!!!!! ממרח של אהבה, מאי המהממת שלנו, איך יכול להיות שדובונת כזאת עדיין פה? היא ננטשה פעמיים מבית ואיך לא, פיתחה חרדת נטישה. אבל אם תקחו אותה אתכם לעבודה (או אם אתם עובדים מהבית) כל יום יהפוך ליום עמוס באהבה. יש דבר יותר מושלם מלעבוד כשלצידך דובונית מתוקה שכזאת? מאי לוקחת חלק בפרויקט  #אומנהלחיים אימוץ ללא עלות, כולל טיפולים רפואיים בהתאם לגילו-עלינו ו-2 שקי מזון מתנת ביופט.",מאי,8 שנים,15-07-2015,נקבה,בינוני,חום,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר"
30,"הנרי היפיוף! כלבלב עם עיניים מדברות, הגיע אלינו פצוע כולו. הוא טופל והחלים ועכשיו רק מחכה, לבית מפנק שיאהב לתמיד. רועה מעורב עם לב זהב.",הנרי,4 שנים,09-01-2020,זכר,בינוני,חום שחור,חינוך בסיסי,"מעורב, רועה גרמני","ילדים, ספורטאים"
31,"היא שכבה קפואה בפינת הכלוב בהסגר. איש לא הצליח להתקרב אליה במשך יותר מדי זמן. העברנו את ליה אלינו לכלבייה והיא עובדת כעת עם המאלפים שלנו כדי ללמוד לבקש אהבה. כלבה סופר עדינה ומקסימה ששוברת את הלב, מתמכרת למגע וזקוקה לבית סבלני ומנוסה שיתקן את הלב.",ליה,6 שנים,19-04-2017,נקבה,בינוני,חום,חינוך בסיסי,מעורב,"אנשים שכבר גדלו כלב בעבר, בית עם חתולים, ילדים, ספורטאים"
32,"שנים הוא היה בבית ושנים ארוכות מדי שהוא כאן…צ'רלי האהוב שלנו. מתיישב עלייך ופשוט דורש, אהבה בלי סוף, לתת ולקבל. צ'רלי הוא כלב עדין ומקסים שננטש, אז… כי לחוץ במפגש ראשוני עם אנשים. אז מה??????? לא שווה להשקיע יותר מרגע כדי לזכות בכמויות האהבה הבלתי נגמרת שיש למהמם הזה לתת? כלב שכולו חיוכים ופינוקים , צ'רלי לוקח חלק בפרויקט #אומנהלחיים אימוץ ללא עלות עבור הכלבים המבוגרים שלנו כשהטיפול הרפואי בבעיות הקשורות לגילו עלינו, ו-2 שקי מזון גדולים מתנת אורבן צ'ויס..",צ'ארלי,8 שנים,22-10-2015,זכר,בינוני,חום לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
33,"חביבי המתוק, נמצא משוטט במצב נוראי עם מחלת עור קשה. הוא טופל והחלים לגמרי אבל הלב נשאר פצוע וכואב. כלבלב מאוד חששן ופחדן, שזקוק להרבה עבודה וסבלנות. יהיה פרטנר מצויין בבית בו יש עוד כלבלבים ומאמצים סבלניים עם ניסיון ורצון להעניק לו חיים מלאים באהבה.",חביבי,שנתיים,07-04-2021,זכר,בינוני,חום לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים"
34,"כלב גדול מדהים ואהוב במיוחד, שלג לב זהב, לוקח חלק בפרוייקט #אומנהלחיים אימוץ ללא עלות עבור הכלבים המבוגרים שלנו, כשהטיפול הרפואי בבעיות הקשורות לגילו עלינו ושני שקי מזון גדולים מתנת ביופט.הכלב שיוציא אתכם לטיולים בטבע, ישחק אתכם, ישתובב אתכם ויתפנק בלי סוף! שלג המהמם שלנו. גור נצחי, שממיס לבבות בלי הפסקה. לצדו של שלג, אי אפשר שלא לחייך תמיד ולהיות מאוהבים תמידית. שלג יכול להיות טריטוריאלי ולכן לא מתאים לבית עם ילדים קטנים או אנשים לא מנוסים.",שלג,10 שנים,29-08-2013,זכר,בינוני,לבן,חינוך בסיסי,"מעורב, לברדור","ספורטאים, אנשים שכבר גדלו כלב בעבר"
35,"למהממת הזאת אנשים נוראיים גזרו את האוזניים, היא למרות הזוועות שחוותה, מוכנה לפתוח את הלב לאהבה. כלבה מקסימה.",עינב,שנתיים,12-01-2022,נקבה,בינוני,חום לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים"
36,"בל היפהפייה ננטשה בגיל חמש לכלוב, כי טריטוריאלית בבית, כי לפעמים מפחדת מגברים, כי הרבה יותר קל לזרוק לכלוב ולהפטר מהכלבה מאשר להשקיע ולנסות לפתור את הבעיה. בל מחכה למאמצים עם ניסיון ורצון להפוך אותה לחלק מהחיים שלהם, בטוב וגם ברע- לתמיד! בל לוקחת חלק בפרויקט  #אומנהלחיים אימוץ ללא עלות עבור הכלבים המבוגרים שלנו, כולל טיפולים רפואיים, בהתאם לגילה- עלינו, ו-2 שקי מזון מתנת ביופט.",בל,8 שנים,09-09-2015,נקבה,בינוני,שחור,חינוך בסיסי,צ'או צ'או,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר"
37,"כלב סופר עדין וחששן שלוקח לו המון זמן להפתח ולכן זקוק למאמצים סבלניים, עם ניסיון, שיעבדו איתו לאט ויאפשרו ללב המתוק להפתח. אחד המתוקים שיש, נסיך של האגדות שהכי שווה את ההשקעה.",פרסלי,6 שנים,06-09-2017,זכר,בינוני,חום לבן,חינוך בסיסי,מעורב,"אנשים שכבר גדלו כלב בעבר, ילדים, ספורטאים"
38,"הכלבלבונת שמסתדרת עם כולםםםםם וכולם מסתדרים איתה, אוהבים ומעריצים אותה. סאשה הכלבה שעושה לכולם שמח בלב. כלבה שאוהב לשחק ולהתפנק עם מי שבא וגורמת לכולם לחייך בלי הפסקה. כלבה סופר חכמה ומהממת!.",סאשה,שנה,01-01-2023,נקבה,בינוני,חום,חינוך בסיסי,"מעורב, מלינוואה","ילדים, ספורטאים, בית עם חתולים"
39,איך היא אוהבת להתרגש! רועה צ'כית מהממת ביופיה ובאופיה. אסיה המהממת הגיעה אלינו אחרי שנדרסה. היא טופלה והחלימה ומאז מתרגשת מכל מי שהיא פוגשת ומראה כמויות אדירות של אהבה..,אסיה,6 שנים,02-01-2018,נקבה,בינוני,חום שחור,חינוך בסיסי,רועה צ'כי,"ילדים, ספורטאים"
40,"אחד הפרצופים המתוקים אם לא ה-!! מייקי המושלם! כלבלבון בן שנה שהגיע אלינו עם פצע כואב ומזוהם בראשו! הגיבור הזה עבר ניתוח מורכב, הראייה קצת נחלשה, בעיקר למרחוק, אבל הוא לגמרי בריא והכי הכי גיבור! עדין ומתוק שמכור לפינוקים, מחונך ומאולף ובאמת שהפרצוף הזה דורש נשיקות על האף..",מייקי,שנה,02-01-2023,זכר,בינוני,שחור לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים, בית עם חתולים"
41,גם דוגמן וגם הכלב הכי חמוד בעולם! חמו חמידות. כלבלב על 3 רגליים מתפנק ואוהב שבעיניו החמודות מבקש שתעניקו לו בית חם ומפנק. סופר חברותי וחכם..,חמו,תשעה חודשים עד שנה,08-03-2023,זכר,בינוני,חום,חינוך בסיסי,מלינוואה,"ילדים, ספורטאים"
