,Discription,Name,Age,Date,Sex,Size,Color,Education,Breed,Adjusted to
42,"אביעד המהמם, כלבלב מתוק שלאהבה נולד, אומץ בתור גור ואז לכלבייה חזר עצוב ומקווה כעת למצוא בית שלתמיד יידע שזכה בכלבלב מהאגדה. אביעד לוקח חלק בפרויקט #אומנהלחיים אימוץ ללא עלות, כולל טיפולים רפואיים, בהתאם לגילו, עלינו ו-2 שקי מזון מתנת אורבן צ'ויס.",אביעד,7 שנים,06-10-2016,זכר,בינוני,חום לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר"
43,"פבליטו הכלבלב והאוזניים המתוקות בעולם! הגיע אלינו חולה, טופל והחלים, אומץ וחזר מבית עם לב מרוסק לרסיסים. כלב שאיבד את האמון בבני אדם, זקוק ליותר מרגע אחד להכיר כדי להפתח ולתת את האהבה הלב שמפחד שוב להפגע..",פבליטו,3 שנים,10-02-2021,זכר,בינוני,חום,חינוך בסיסי,מעורב,"אנשים שכבר גדלו כלב בעבר, ילדים, ספורטאים"
44,"את זואי המקסימה נטשו כבר מ-3 בתים! כלבה של אהבה, שמאוד טריטוריאלית ולא מסתדרת עם כלבים אחרים ולכן ננטשה כל כך הרבה פעמים. שבורת לב וצמאה לאהבה, זואי רוצה הפעם להגיע לבית- לתמיד! זואי לוקחת חלק בפרויקט #אומנהלחיים אימוץ ללא עלות, כולל טיפולים רפואיים, בהתאם לגילה- עלינו ו-2 שקי מזון מתנת אורבן צ'ויס.",זואי,7 שנים,01-01-2017,נקבה,בינוני,חום שחור לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר"
45,"7 שנים שהג'ינג'י המדהים הזה היה בבית ואז לכלוב ננטש. מאז, בצדק, האמון שלו בבני אדם אבד ומאז כבר שנתיים שהוא מחכה לחזור הביתה. #אומנהלחיים אימוץ ללא עלות עבור הכלבים המבוגרים שלנו, כולל טיפולים רפואיים, בהתאם לגילו-עלינו ו-2 שקי מזון מתנת ביופט. ג'וש זקוק לבית עם סבלנות וניסיון, בלי ילדים קטנים, ייקח לו זמן להסיר את החמות אבל כשזה יקרה, הוא יהיה חבר אמיתי!.",ג'וש,10 שנים,18-07-2013,זכר,קטן,חום,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
46,"את רן המתוק חילצנו ממאגר מים בו נתקע ולא היה מסוגל לצאת משם, מה שכמעט עלה לו בחייו. כלב עדין וחששן שלומד עכשיו להכיר אנשים טובים ומחכה למאמצים עם סבלנות והרבה אהבה, להעניק לו בית חם בו יוכל לצבור חוויות חדשות לחיים.",רן,3 שנים,01-06-2020,זכר,בינוני,חום שחור לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים"
47,"אליסה הבובה, נמצאה בזמן המלחמה וחולצה על ידי חיילים יקרים. היא ביישנית ועדינה, צריכה רגע כדי להכיר ואז נפתחת לאהבה ומפיצה את הקסם הכובש שבה..",אליסה,שנה,22-12-2022,נקבה,בינוני,חום לבן,חינוך בסיסי,מעורב,"בית עם חתולים, ילדים, ספורטאים"
48,"הכלבלב שמוכיח שהגיל הוא רק תרגיל, לופ האהוב שלנו. כמה שהמתוק הזה אוהב לרוץ, לשחק ולהשתובב. הוא אוהב להתנשק ולהתפנק בלי סוף אבל לפעמים מתוך מגע של פינוקים, פתאום משהו לא נעים לו והוא מתרגז ומתהפך. זכותו לא?.לופ מחכה לאנשים שרוצים להוציא מהכלוב כלב אהוב שמחכה כאן כבר שנים (!!!) לרוץ מפה. לופ מאולף ומעלף. מחכה ביחד עם עוד עשרות כלבים מבוגרים במסגרת #אומנהלחיים אימוץ ללא עלות עבור הכלבים המבוגרים שלנו, טיפולים רפואיים עלינו ושני שקי אוכל גדולים מתנת ביופט.",לופ,11 שנים,09-01-2013,זכר,גדול,חום,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
49,"ויני המהממממם שלנו. רוטווילר מעורב עם לב זהב שמחכה אצלנו שנים. הוא שננטש מבית כי היה טריטוריאלי ומחכה יותר מדי זמן, למאמצים עם ניסיון, שידעו להתנהל איתו ויזכו באהבה בכמויות. מאז הנטישה, לויני לוקח זמן לסמוך על מי שלא מכיר, אבל כשהוא נפתח, הלב מתרחב ממש והוא ממרח בלתי רגיל! הוא מאולף, הוא מעלף, הוא החודש בן 8 והגיע הזמן שיזכה לאהבה ומיטה חמה..ויני לוקח חלק בפרויקט #אומנהלחיים אימוץ ללא עלות עבור הכלבים המבוגרים שלנו, כולל טיפולים רפואיים, במידת הצורך, ו-2 שקי מזון.",ויני,9,29-01-2015,זכר,בינוני,חום שחור לבן,חינוך בסיסי,"מעורב, רוטווילר","ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר"
50,"שנים שהפרצוף לב הזה מחכה לבית. לאהבה. הכלב הכי מושלם בעולם. באמת. אין דברים כמוהו וזה מדהים, שבמהלך השנים ואלפי אנשים שעברו ליד הכלוב שלו ולא ברור איך, איש לא התאהב בלב שבו. חסון המהממון שלנו, פשוט כלב שכל כולו אהבה. מנשק, מחבק, רק מבקש עוד ועוד להתפנק. העובדה שהוא עדיין כאן- היא באמת בגדר תעלומה..חסון לוקח חלק בפרוייקט #אומנהלחיים אימוץ ללא עלות עבור הכלבים המבוגרים שלנו,  כשהטיפול הרפואי בבעיות הקשורות לגילו עלינו ו-2 שקי מזון מתנת ביופט. תעשו #מקוםבלב למדהים הזה ותזכו באהוב מושלם.",חסון,10 שנים,23-10-2013,זכר,בינוני,חום,מאולף,"מעורב, אמסטף","ספורטאים, אנשים שכבר גדלו כלב בעבר, ילדים"
51,"גולו מתוקולו! כלבלבונת משגעת שהגיעה אלינו עם שבר כואב בלסת. היא נותחה כמו גדולה, החלימה בענק ועכשיו משתובב ומחלקת נשיקות ואהבה לכל מי שבסביבה..",גולו,שנה,06-07-2022,נקבה,בינוני,חום שחור,חינוך בסיסי,מעורב,"ילדים, ספורטאים"
52,"אומרים שהכלב הוא חברו הטוב ביותר של האדם ולמרות זאת, נוטשים אותם כל הזמן..אמיגו האהוב הגיע אלינו עם אחיו בתור גור קטן, מבסיס צבאי. כל האחים, כולל אמיגו, אומצו אבל את אמיגו החזירו לכלוב ומאז עברו כבר 7 שנים. אמיגו ננטש כי רכושני כשאוכל או משחק. לכל בעיה יש פיתרון, אבל אמיגו נזרק לכלוב והשנים עוברות ובגיל 8 המהמם הזה צריך לצאת הביתה. אמיגו לוקח חלק בפרויקט #אומנהלחיים אימוץ ללא עלות עבור הכלבים המבוגרים שלנו, כולל טיפולים רפואיים בהתאם לגילו-עלינו-2 שקי מזון מתנת אורבן צ'ויס.",אמיגו,9,04-02-2015,זכר,גדול,חום לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
53,"כלבה מקסימה וטובה שננטשה מבית עם לב שבור. פנסי היא כלבה מאוד קנאית לתשומת לב ולכן רצוי שתהיה בת יחידה ותזכה בכל האהבה שמגיע לה, בלי שתתעורר בה קנאה.",פנסי,5 שנים,11-07-2018,נקבה,בינוני,חום לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
54,"רקס המשגע. כלבלב עם אוזן כזאת חמודה שמחכה לשמוע מילים של אהבה. כלב עדין וקצת פחדן, מחכה למאמצים עם ניסיון וסבלנות, שיעניקו לו בית בו יוכל להתכרבל ולהרגיש הכי אהוב שיש.",רקס,שנה,03-08-2022,זכר,בינוני,חום לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
55,"לב גדול ומקסים, שהגיע אלינו במצב נוראי ומאז פחות סומך על בני אדם. כשנפתח, הוא נותן את כל הלב! אבל זקוק למאמצים עם ניסיון.",לב,6 שנים,17-07-2017,זכר,גדול,בז',חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
56,"פרידה המהממת, חמידות שיא של כלבה, שננטשה מבית בגלל שרכושנית מאוד למקום שלה, לצעצועים שלה ולאוכל שלה ולכן למרות המתיקות, לא מתאימה לכל בית. פרידה זקוקה למאמצים עם ניסיון, בבית בלי ילדים קטנים, אם תדעו להציב לה גבולות ולעבוד איתה נכון, תזכו בבובה אמיתית..",פרידה,3 שנים,13-05-2020,נקבה,בינוני,חום לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים"
57,"חובב הוא כלבלב עם לב זהב, שננטש מבית שלא העריך את הממתק העדין והמתוק שיש בו אהבה בלי סוף.",חובב,6 שנים,11-07-2017,זכר,גדול,שחור לבן,מאולף,מעורב,"אנשים שכבר גדלו כלב בעבר, ספורטאים"
58,"פונצ'ו המשגע הסתובב במשך יותר מדי זמן לבדו ברחובות באר שבע. המהמם הזה הצליח לשרוד בגבורה, עכשיו הוא רוצה להפסיק את הנדודים ולהגיע לבית שידאג לו ויפנק בלי הפסקה. פונצ'ו לוקח חלק בפרויקט #אומנהלחיים אימוץ ללא עלות עבור הכלבים המבוגרים שלנו, כולל טיפולים רפואיים, בהתאם לגילו- עלינו, ו-2 שקי מזון מתנת אורבן צ'ויס..",פונצ'ו,8 שנים,06-05-2015,זכר,גדול,חום לבן,חינוך בסיסי,מעורב,"אנשים שכבר גדלו כלב בעבר, ילדים, ספורטאים"
59,"חתיך על חלל שמעניק אהבה בכמויות גדולות! ארטיום המשגע, כלב חזק ומדהים, שאוהב מלא לשחק אבל ממש לא מוותר על ים של נשיקות ופינוקים..",ארטיום,7 שנים,08-02-2017,זכר,גדול,חום שחור,חינוך בסיסי,מלינוואה,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר"
60,"קוקי קוקילידה הבובה! ממש מחכה להמתיק לכם את החיים. אוהבת להוציא הרבה אנרגיה בטיולים ועם זאת, לא מוותרת אף פעם על ישיבת פינוקים.",קוקי,3 שנים,04-02-2021,נקבה,בינוני,חום לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים"
61,"סאני הכלבלבונת שכולה קסם ואהבה. כלבה שנמצאה משוטטת לבדה והשבב הוביל ליותר מדי אנשים שהעבירו אותה מיד ליד, כאלו היתה חפץ משומש. עכשיו סאני מבקשת להגיע לבית שיבטיח להיות שלה לתמיד.",סאני,6 שנים,10-12-2017,זכר,בינוני,חום,חינוך בסיסי,מעורב,"ילדים, ספורטאים"
62,"קונגו המשגע אומץ בתור גור קטן וחזר אחרי מספר חודשים עם לב שבור לרסיסים. מתוק אמיתי, עדין ומקסים, שמחכה עכשיו לבית שיודע שלאמץ אותו זה להפוך אותו- לתמיד, לחלק בלתי ננפרד מהמשפחה.",קונגו,3 שנים,05-02-2021,זכר,בינוני,חום לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים"
63,"כלבלבונת עם עיניי שקד מלא בעצבות תהומית, ג'מה שלנו היא ילדונת פחדנית שזקוקה לבית סובלני מלא באהבה כדי להחליף את המבט העצוב בשמחה. היא עובדת עם המאלפים שלנו, אבל רק בבית מחבק תוכל לפרוח ולהיות הכי מאושרת שיש. ג'מה מחכה אצלנו כבר שנים ארוכות למאמצים סבלנים, היא לוקחת חלק בפרויקט #אומנהלחיים אימוץ ללא עלות, כשהטיפול הרפואי בבעיות הקשורות לגילה, עלינו, במידת הצורך ו-2 שקי מזון גדולים מתנת ביופט.",ג'מה,8 שנים,13-03-2015,נקבה,בינוני,חום,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים"
64,"פצועה בפצעי ירי, מהטבח הנורא שהתרחש בדרום. לונה הצליחה לברוח ולהציל את עצמה. היא נמצאה בכרם שלום ועברה אלינו מיד לטיפול רפואי. פיטבולית מהממת שעברה גיהנום ולצערנו, מי שהיו לה למשפחה, פונו מביתם והודיעו שהם לא מעוניינים לדאוג לה. היא עברה את תקופת האישפוז עם לב שבור, אבל עטפנו אותה באהבה והיא העניקה כמויות מכופלות של חיבוקים ואהבה בלי הפסקה. היו לה פצעים עמוקים בראש וברגלייה גם עדשת העין נפצעה וטופלה. עכשיו, כמו חדשה, לונה מחכה לבית שיבטיח להיות שלה, בטוב וגם ברע..",לונה,שנתיים,18-11-2021,נקבה,בינוני,אפור,חינוך בסיסי,פיטבול,"ילדים, ספורטאים"
65,"את נארו הנסיך נטשו מבית אחרי 4 שנים עם לב מרוסק לרסיסים. כלב כל כך עדין וטוב, ננטש כי נלחץ לפעמים מרעשים, תנועות חדות ולפעמים גם מכלבים. אז 4 שנים הוא היה חלק מהמשפחה ועכשיו חזר לכלוב גמור ומקווה להגיע הפעם לבית שיידע להתנהל איתו, בית שקט שיוכל להנות מכלב שבאמת יש לו לב כל כך טוב.",נארו,6 שנים,06-06-2017,זכר,גדול,שחור לבן,מאולף,מעורב,"אנשים שכבר גדלו כלב בעבר, בית עם חתולים, ספורטאים"
66,"את מותק המתוקה נטשו מבית כי טריטוריאלית ולא מסתדרת עם כל הכלבים. כלבה עם לב מרוסק, מחכה עכשיו להכיר מאמצים מנוסים, שיתקנו את הסדק שנגרם לה בלב ויבטיחו לה בית לתמיד.",מותק,3 שנים,01-07-2020,נקבה,בינוני,חום שחור,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
67,"חתיך על שהספיק בחייו הקצרים כבר לפגוש אנשים לא נחמדים,,ולכן שון המהממון שלנו לא תמיד סומך על בני אדם, מחכה למאמצים מנוסים שיתקנו את הלב, שיבטיחו לתמיד בית אוהב.",שון,7 שנים,29-12-2016,זכר,גדול,חום לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
68,"כל מה שצריך זה מאמצים עם סבלנות וניסיון ומוהק ייתן אהבה בכמויות! מוהק כלב שרק רוצה כל היום להתפנק ולהתכרבל בלי הפסקה. אבל את כל זה אפשר לגלות רק אחרי הכרות מעמיקה..כשמוהק מכיר אנשים חדשים, הוא לרב נלחץ מאוד והופך תוקפני ולכן עדיין לא מצא מישהו שישאר יותר מרגע אחד ויגלה את הממתק שבפנים. מוהק זקוק למאמצים עם ניסיון, עם ליווי מלא שלנו כמובן..",מוהק,7 שנים,21-12-2016,זכר,גדול,בז',חינוך בסיסי,"מעורב, לברדור","ספורטאים, אנשים שכבר גדלו כלב בעבר"
69,"את ג'סי נטשו מבית כשהתחילו עבודות תמא בבניין והוא פחד מהרעשים..ג'סי הוא כלב מקסים, אוהב אנשים וילדים אבל הוא לחוץ במפגש ראשון וכן, הוא גם מפחד מרעשים. רגיש, מתוק, עמוס באהבה, מחכה הפעם לבית שיבטיח להיות שלו בטוב וגם ברע. ג'סי לוקח חלק בפרויקט #אומנהלחיים אימוץ ללא עלות, כולל טיפולים רפואיים, בהתאם לגילו, עלינו ו-2 שקי מזון מתנת אורבן צ'ויס.",ג'סי,7 שנים,05-08-2016,זכר,גדול,חום לבן,חינוך בסיסי,מעורב,"אנשים שכבר גדלו כלב בעבר, ילדים, ספורטאים"
70,"קוקה המתוק, כלבלבון עדין ומקסים שהגיע אלינו עם לקויות בעור ושבר באגן. כל כך צעיר וכבר צריך להתמודד עם צרות העולם. קוקה נותח וטופל, הוא עדיין סוחב צליעה קלה, אבל הולך, מתרוצץ, משחק ומפזר מלא אהבה.",קוקה,שנה,18-11-2022,זכר,בינוני,לבן,חינוך בסיסי,מעורב,"ילדים, בית עם חתולים"
71,"אי אפשר שלא להתאהב בבננה וקשה להאמין שהבובה הזאת, עברה התעללות קשה כשגזרו לה את האוזניים בלי בושה! מתוקה עדינה ומקסימה שמחכה לפתוח דף חדש בבית שיפנק בלי הפסקה.",בננה,שנה,10-05-2022,נקבה,בינוני,חום לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים"
72,"דודי המתוק! כלבלבון עדין וביישן שמאוד מפחד, נראה שבחייו הקצרים כבר הצליחו לרסק לו את הלב. הוא זקוק למאמצים סבלניים, שיאפשרו לו, בקצב שלו, להסיר את החומות שבנה סביב הלב.",דודי,שנתיים,01-05-2021,זכר,בינוני,חום,חינוך בסיסי,מעורב,"אנשים שכבר גדלו כלב בעבר, בית עם חתולים, ילדים, ספורטאים"
73,"מאצ'ו ננטש מבית מבוהל מאוד. הוא כלב מקסים, מאוד לחוץ במפגש ראשון אבל כשנרגע נותן ומבקש כל כך הרבה אהבה. מאצ'ו הוא כלב רכושני שזקוק למאמצים מנוסים, שיעבדו איתו נכון ויוכלו להחזיר אותו הביתה- הפעם לתמיד. מאצ'ו לוקח חלק בפרויקט #אומנהלחיים אימוץ ללא עלות, כולל טיפולים רפואיים בהתאם לגילו-עלינו ו-2 שקי מזון גדולים מתנת אורבן צ'ויס.",מאצ'ו,7 שנים,24-02-2016,זכר,בינוני,חום לבן,חינוך בסיסי,"מעורב, מלינוואה","ספורטאים, אנשים שכבר גדלו כלב בעבר"
74,"הממרח הרשמי של הכלבייה! בתוך תוכו עוזי הוא בלונדינית שרוצה להנות מהחיים בלי הפסקה. בפועל, הוא מחכה כל כך הרבה שנים לבית, שהבלונדינית נכבית, כשהוא מאחורי הסורגים מחכה..הוא ממרח אמיתי של אהבה שמאוד סובל בלעדיה בכלבייה. הוא מתפנק בלי סוף, מאולף ומעלף, הוא לחוץ ממפגש עם אנשים חדשים אבל אין לתארר את האהבה שהוא מעניק כשהוא מכיר. עוזי לוקח חלק בפרויקט #אומנהלחיים אימוץ ללא עלות עבור הכלבים המבוגרם שלנו כשהטיפול הרפואי בבעיות הקשורות לגילו עלינו,  ו-2 שקי מזון מתנת ביופט.",עוזי,10 שנים,10-06-2013,זכר,בינוני,מנומר,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
75,"את הלב של בל שברו כבר פעמיים. היא ננטשה משני בתים, פעם אחת כי עלתה על הספה…פעם שנייה כי הילד אלרגי…כלבה עדינה וחששנית שמבקשת בפעם השלישית להגיע לבית שידע שזכה בנסיכה אמיתית. בל לוקחת חלק בפרויקט #אומנהלחיים אימוץ ללא עלות, כולל טיפולים רפואיים בהתאם לגילה ו-2 שקי מזון מתנת אורבן צ'ויס.",בל,8 שנים,02-02-2016,נקבה,בינוני,בז',חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים"
76,"דוגמנית על, יפהפיה, אנרגטית, מקסימה וכובשת! רותם היא כלבלבונת מלאה שמחת חיים ואהבה, אוהבת לשחק, לטייל ולמלא לבבות באהבה.",רותם,3 שנים,10-02-2021,נקבה,גדול,חום,חינוך בסיסי,מלינוואה,"ילדים, ספורטאים"
77,"את חתיך העל המדהים הזה, חילצנו אחרי שהיה קשור, קופא מקור, רטוב עד לשד עצמותיו, עם מחסום על הפה, לא מסוגל אפילו לזעוק את הכאב! טורץ' המדהים עכשיו כבר מחייך, מחלק אהבה לכל מי שרק מבקש. הוא מחכה לבית שיפנק בלי סוף. טורץ' לוקח חלק בפרויקט #אומנהלחיים אימוץ ללא עלות, כולל טיפולים רפואיים בהתאם לגילו-עלינו ו-2 שקי מזון גדולים מתנת אורבן צ'ויס.",טורץ',8 שנים,03-03-2015,זכר,בינוני,חום לבן,חינוך בסיסי,פיטבול,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
78,"בארי היה חלק מהמשפחה במשך חמש שנים ואז ננטש כי שומר על המשפחה מכל משמר..כלב נאמן ואוהב למי שמכיר, אבל מאוד טריטוריאלי ושומר על מי שאוהב ומכיר ולצערנו מעולם לא עבדו איתו על כך ועכשיו הוא ננטש עם לב כואב כל כך. זקוק למאמצים עם ניסיון שיזכו בכלב שייתן את כל כולו.",בארי,6 שנים,07-02-2018,זכר,גדול,חום שחור לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
79,"יוני מהממוני, כלבלב עדין ביישן וחששן, שזקוק למאמצים סבלניים שיעניקו לו ביטחון כדי שיוכל להפוך לכלבלב מאושר שימלא את הבית באהבה.",יוני,4 שנים,04-06-2019,זכר,בינוני,חום לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים, ילדים"
80,"מלך היופי, העדינות והחמידות, עפריקי האהוב. כלבלב עם פרווה משגעת, סופר מתפנק ואוהב, הגיע בתור גור קטן ממחנה צבאי ומאז עברו יותר מדי שנים! הוא הספיק להיות בבית ולחזור כי חששן, מאז הוא מחכה להזדמנות בבית סבלני עם מאמצים שיתנו לו את הזן שלו להסתגל ולהתרגל, להעניק את האהבה שיש בו בכמויות שכובשות את הלב. עפריקי לוקח חלק בפרויקט #אומנהלחיים אימוץ ללא עלות עבור הכלבים המבוגרים שלנו, כולל טיפולים רפואיים, במידת הצורך, ו-2 שקי מזון.",עפריקי,9,27-01-2015,זכר,בינוני,חום שחור לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים"
81,"דופון המתוק, כלב סופר עדין וחששן שהוצאנו מהסגר כדי להעניק לו עתיד טוב יותר. דופון זקוק למאמצים עם ניסיון והרבה סבלנות כדי שיוכל לצאת ולהיות נסיך מאושר בבית שיאהב בטירוף.",דופון,5 שנים,13-02-2019,זכר,בינוני,חום לבן,חינוך בסיסי,מעורב,"אנשים שכבר גדלו כלב בעבר, בית עם חתולים, ילדים, ספורטאים"
82,"באסטר הוא יפיוף על שננטש כבר משני בתים בגלל שרכושני לצעצועים ולמזון שלו. הוא לא מתאים לבית עם ילדים קטנים, הוא זקוק לבית עם ניסיון, לבית שבפעם השלישית יבטיח להיות שלו בטוב וגם ברע- לתמיד!.",באסטר,5 שנים,05-06-2018,זכר,בינוני,חום לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
83,"לונה הגיעה אלינו בגיל שנה, אומצה וחזרה כשנולד תינוק, שוב אומצה וחזרה כשלא הסתדרה עם החתולים ואחרי 8 שנים בכלוב, הגיע הזמן שתזכה לצאת מכאן לתמיד!! כלבה עדינה וכל כך טובה שהולכת לאיבוד בין מאות כלבים. לונה שלנו קצת חששנית ומתביישת במפגש ראשון ולכן כמעט ולא תראו אותה כשתעברו ליד הכלוב שלה. תעשו #מקוםבלב תגיעו אלינו ותבקשו להוציא אותה ולהכיר אותה, להעניק לה הזדמנות לחיים. לונה לוקחת חלק בפרוייקט #אומנהלחיים אימוץ ללא עלות עבור הכלבים המבוגרים שלנו, כשהטיפול הרפואי בבעיות הקשורות לגילה, עלינו, ושני שקי מזון גדולים מתנת ביופט.",לונה,11 שנים,01-02-2013,נקבה,בינוני,חום לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר"
