,Discription,Name,Age,Date,Sex,Size,Color,Education,Breed,Adjusted to,Image,Link
0,"אנחנו לא יודעים כמה זמן נשאר לעלמה לחיות. זאת האמת. המדהימה הזאת, עם שמחת החיים הזאת, לא הצליחה להתרומם על הרגליים לפני מספר ימים ובבדיקה נמצא שהיא סובלת מניוון שרירים. אם תסתכלו בסרטון, תראו את פלג גופה האחורי חלש. עם הזמן, גם שאר השרירים בגוף ילכו וייחלשו. לצערנו, במקרה של ניוון שרירים אין שום תרופה שיכולה לעזור לעלמה שלנו. עלמה היא כלבה שמחכה כבר שנים לצאת מכאן. היא מסרבת להזדקן, היא מסרבת להיות ""חולה"" אנחנו כל כך רוצים שאת הזמן שנשאר לה לחיות, לא תעביר בכלבייה. עלמה לוקחת חלק בפרויקט #אומנהלחיים אימוץ ללא עלות עבור הכלבים המבוגרים/חולים שלנו, כולל טיפולים רפואיים ו-2 שקי מזון מתנת ביופט – אוהבים כלבים.",עלמה,8 שנים,24-02-2016,נקבה,בינוני,בז',חינוך בסיסי,"מעורב, מלינוואה","ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר",https://www.letlive.org.il/wp-content/uploads/2023/06/alma-5-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a2%d7%9c%d7%9e%d7%94-5
1,"גולו מתוקולו! כלבלבונת משגעת שהגיעה אלינו עם שבר כואב בלסת. היא נותחה כמו גדולה, החלימה בענק ועכשיו משתובב ומחלקת נשיקות ואהבה לכל מי שבסביבה..",גולו,שנה,06-07-2022,נקבה,בינוני,חום שחור,חינוך בסיסי,מעורב,"בית עם חתולים, ילדים, ספורטאים",https://www.letlive.org.il/wp-content/uploads/2023/12/gulu-13-330x330.jpg,https://www.letlive.org.il/?pet=%d7%92%d7%95%d7%9c%d7%95
2,"חובב הוא כלבלב עם לב זהב, שננטש מבית שלא העריך את הממתק העדין והמתוק שיש בו אהבה בלי סוף.",חובב,6 שנים,11-07-2017,זכר,גדול,שחור לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר",https://www.letlive.org.il/wp-content/uploads/2023/05/hovav-330x330.jpg,https://www.letlive.org.il/?pet=%d7%97%d7%95%d7%91%d7%91-2
3,שוקו הממתק. כלבלבון שנמצא משוטט לבדו עצוב נורא. הגיע אלינו ומאז מפזר מתיקות וחמידות בלי הפסקה..,שוקו,שנתיים,23-03-2022,זכר,בינוני,שחור לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים",https://www.letlive.org.il/wp-content/uploads/2024/03/shoko-16-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a9%d7%95%d7%a7%d7%95-7
4,"נוימן המתוק אומץ בתור גור ואז לדברי משפחתו ""זה לא הסתדר"" והאומלל חזר לכלוב. אחר כך הוא שוב אומץ ואז שוב ננטש, כי היה עם אב יחדני שהחליט,אחרי 4 שנים, שזה לא מתאים לו עכשיו. כמה אפשר להעביר נפש אחת טהורה? כמה אפשר לטלטל כלב שבסך הכל רוצה אהבה. כלב מקסים שמחכה, אחת ולתמיד, למשפחה שמבינה שלאמץ זה לכל החיים! נוימן לוקח חלק בפרויקט #אומנהלחיים, אימוץ ללא עלות, כולל טיפולים רפואיים בהתאם לגילו, עלינו ו-2 שקי מזון גדולים מתנת אורבן צ'ויס..",נוימן,7 שנים,12-10-2016,זכר,גדול,חום לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר",https://www.letlive.org.il/wp-content/uploads/2019/12/noima-6-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a0%d7%95%d7%99%d7%9e%d7%9f
5,"פיניקס הגיע אלינו בתור גור קטן, אומץ ואחרי 10 חודשים ננטש מבית. הוא כלב מאוד חששן וחשדן שזקוק לסביבה רגועה, סבלנית ואוהבת. פיניקס גר בעיר ולא הסתדר עם הרעש וההמולה שמסביב, הוא היה בבית עם ילדים אבל נראה שעדיף לו להיות בבית שיש בו בעיקר שקט. כלב מקסים שזקוק למאמצים עם ניסיון וסבלנות.",פיניקס,4 שנים,05-06-2019,זכר,גדול,שחור לבן,חינוך בסיסי,"מעורב, בורדר קולי","ספורטאים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים",https://www.letlive.org.il/wp-content/uploads/2021/10/fini-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a4%d7%99%d7%a0%d7%99%d7%a7%d7%a1-2
6,"סנופי ננטש מבית כי מאוד שומר על מי שאוהב ועל כך נענש ובגיל 10 לכלוב ננטש. ימי הקיץ הלוהטים, לא השאירו הקיץ טיפת חמלה, בליבם של בני האדם וסנופי מצטרף לרשימה ארוכה מדי של כלבים מבוגרים שבמקום שיזדקנו בכבוד, במזגן, כלואים בחום מאחורי הסורגים..סנופי לוקח חלק בפרויקט #אומנהלחיים אימוץ ללא עלות, כולל טיפולים רפואיים בהתאם גילו-עלינו ו-2 שקי מזון גדולים מתנת ביופט..",סנופי,10 שנים,07-08-2013,זכר,בינוני,לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים",https://www.letlive.org.il/wp-content/uploads/2023/08/snopy-1-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a1%d7%a0%d7%95%d7%a4%d7%99-3
7,"הוא עדין ומתוק, הוא קצת הולך לאיבוד בין מאות כלבלבים, הוא ביישן במפגש ראשון, אבל הוא הכי שווה את ההשקעה שלכם, כי מדובר במתיקות אמיתית. זאודיק הנסיך, הגיע אלינו בתור גור קטן ולמעלה משנה מחכה לבית סבלני ואוהב. הוא עבר תהליך מדהים, אבל עדיין זקוק למאמצים שיפתחו עבורו את הלב, שיהיו סבלניים ויתנו לו את הזמן להפתח ולהוציא את החמידות שמסתתרת בפנים..",זאודיק,3 שנים,05-08-2020,זכר,גדול,חום לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים",https://www.letlive.org.il/wp-content/uploads/2023/09/zaudik-2-330x330.jpg,https://www.letlive.org.il/?pet=%d7%96%d7%90%d7%95%d7%93%d7%99%d7%a7
8,ראינה המתוקה. כלבלבונת שנמצאה משוטטת לבדה והיתה מאוד עצובה ומבולבלת. היא הגיעה אלינו ומכאן רוצה להרגיש מוגנת ואהובה עם משפחה מפנקת..,ראינה,שנה,01-12-2022,נקבה,בינוני,שחור לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים",https://www.letlive.org.il/wp-content/uploads/2024/03/raina-3-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a8%d7%90%d7%99%d7%a0%d7%94
9,"פאולה ההמהממת! יפה ברמות אחרות, כלבה מקסימה, ננטשה מבית בטענה שראקטיבית מדי ולכן עכשיו מחכה למאמצים עם ניסיון, שידעו לעבוד איתה נכון ולהבטיח לה בית לתמיד, כי האהבה שלה שווה את הכל..",פאולה,שנה,19-10-2022,נקבה,בינוני,חום,חינוך בסיסי,מעורב,"אנשים שכבר גדלו כלב בעבר, ילדים, ספורטאים",https://www.letlive.org.il/wp-content/uploads/2024/03/paula-15-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a4%d7%90%d7%95%d7%9c%d7%94
10,"קארי המתוקה. כלבלבונת עדינה ומקסימה שהגיעה אלינו מהצפון. היא טובה, היא כובשת, היא רק זקוקה ליותר מרגע אחד, כדי לחשוף את כל הקסם והמתיקות שבה..",קארי,שנתיים,09-03-2022,נקבה,בינוני,חום שחור לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים",https://www.letlive.org.il/wp-content/uploads/2024/03/kari-1-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a7%d7%90%d7%a8%d7%99
11,"את צור המתוק הוצאנו ""מכלביית המוות"" כלבייה שהצלחנו לסגור אחרי תחקיר בו הראנו את הזוועות שעברו שם הכלבים המסכנים. צור חווה, ככל הנראה, את האלימות והתנאים הנוראיים ועכשיו מגיע לו לזכות בהכי טוב שיש. הוא פחדן ואפשר להבין אותו, אבל בסבלנות ומרחב לאהבה, הלב ירפא ואנחנו מבטיחים שזה יהיה מרגש כל כך..",צור,שלושה עד שישה חודשים,11-10-2023,זכר,בינוני,חום לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים",https://www.letlive.org.il/wp-content/uploads/2024/03/zur-1-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a6%d7%95%d7%a8-2
12,"את ווקר נטשו מבית כי הוא כלבלב חשדן ולחוץ. הוא מאוד נלחץ מסיטואציות חדשות, אנשים חדשים ולכן זקוק עכשיו למאמצים עם ניסיון, סבלנות ורצון לתקן את הלב שפגעו בו המון..",ווקר,שנה,11-01-2023,זכר,בינוני,חום שחור לבן,חינוך בסיסי,מעורב,"אנשים שכבר גדלו כלב בעבר, ספורטאים",https://www.letlive.org.il/wp-content/uploads/2024/03/waker-4-330x330.jpg,https://www.letlive.org.il/?pet=%d7%95%d7%95%d7%a7%d7%a8
13,"את שולי המתוק נטשו מבית כשברח מהחצר ואנחנו יכולים לשער, שברח מהחצר כי נלחץ ממשהו..שולי הוא כלב לחוץ. הוא לא מרגיש מוגן וכשהוא נלחץ, הוא באמת לא יודע מה לעשות עם עצמו. כלב עדין ומקסים שפשוט זקוק למאמצים עם נסיון, לבית שקט ורגוע ואז האהבה לצדו תפרח והוא יעניק המון.",שולי,3 שנים,18-03-2021,נקבה,בינוני,חום לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר",https://www.letlive.org.il/wp-content/uploads/2024/03/shuli-18-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a9%d7%95%d7%9c%d7%99-3
14,"חמידות שיא של כלבלבון שמעט חששן ולכן זקוק למאמצים עם ניסיון וסבלנות, כדי שיוכל להפתח ולהפוך לממרח.",ג'וקר,שנתיים,03-09-2021,זכר,בינוני,חום,חינוך בסיסי,מעורב,"ילדים, ספורטאים, אנשים שכבר גדלו כלב בעבר, בית עם חתולים",https://www.letlive.org.il/wp-content/uploads/2023/05/joker-2-330x330.jpg,https://www.letlive.org.il/?pet=%d7%92%d7%95%d7%a7%d7%a8
15,"את פולה המתוקה אימצו בתור גורונת קטנטנה ונטשו אותה אחרי מספר חודשים בלבד והשאירו אותה עם לב מרוסק. כלבה סופר מתוקה, שזקוקה ליותר מרגע אחד כדי להכיר- אבל כשזה קורה, השובבות, המתיקות והאהבה היא גדולה.",פולה,3 שנים,08-12-2020,נקבה,בינוני,חום לבן,חינוך בסיסי,מעורב,"אנשים שכבר גדלו כלב בעבר, ילדים, ספורטאים",https://www.letlive.org.il/wp-content/uploads/2021/10/jes90-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a4%d7%95%d7%9c%d7%94
16,"בים המקסים, נמצא במהלך הלחימה בדרום, עם צלקות שסיפרו שעבר מסע עצוב מאוד. כלבלב חמוד ומקסים, חברותי ומתוק שמחכה להתפנק בבית שיאהב בלי סוף..",בים,שנתיים,16-03-2022,זכר,בינוני,חום לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים",https://www.letlive.org.il/wp-content/uploads/2024/03/bim-12-330x330.jpg,https://www.letlive.org.il/?pet=%d7%91%d7%99%d7%9d
17,"לאסי הבובה נמצאה משותקת! עם שבר מורכב בגב, היא גררה את עצמה בניסיון לשרוד. . לשמחתנו, למרות השיתוק, גילינו שהיא מרגישה את הרגליים, פשוט לא מסוגלת להזיז אותן. בעזרת ד""ר קוליק המדהימה, היא התחזקה פלאים והיום בעזרת כיסא גלגלים, היא מתגלגלת מאושרת, מחוייכת ומפיצה אהבה וקסם לכל הכיוונים.",לאסי,שנה,26-01-2023,נקבה,בינוני,חום לבן,חינוך בסיסי,מעורב,"אנשים שכבר גדלו כלב בעבר, בית עם חתולים, ילדים",https://www.letlive.org.il/wp-content/uploads/2023/08/lasi4-330x330.jpg,https://www.letlive.org.il/?pet=%d7%9c%d7%90%d7%a1%d7%99-3
18,"פצצת אנרגיה מתוקה, אלונה המדהימה! היתה בבית וחזרה כשהמאמצת התאשפזה. ביישנית לשתי שניות אבל אם תציעו לה לשחק היא מיד תתמסר בכיף. כלבה מקסימה שתגרום לכם בלי סוף לחייך.",אלונה,שנתיים,12-01-2022,נקבה,בינוני,חום,חינוך בסיסי,מלינוואה,"ילדים, ספורטאים",https://www.letlive.org.il/wp-content/uploads/2023/04/alona-4-330x330.jpg,https://www.letlive.org.il/?pet=%d7%90%d7%9c%d7%95%d7%a0%d7%94-5
19,"הכלבלב שלחופש נולד. גורל המתוק, כלב סופר חברותי שאוהב לטייל, לחקור, לשחק ולהשתובב וכמה שיותר להתפנק. גורל רוצה לצאת אתכם לחופש הגדול. גורל ננטש מבית וחזר אלינו גמור! מאז הוא מתקשה לסמוך על אנשים חדשים ואפשר אותו לגמרי להבין. אל תתנו לעוול שמישהו אחר עשה לו, להשאיר אותו בכלוב..",גורל,3 שנים,09-07-2020,זכר,בינוני,מנומר,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר",https://www.letlive.org.il/wp-content/uploads/2023/04/goral2-330x330.jpg,https://www.letlive.org.il/?pet=%d7%92%d7%95%d7%a8%d7%9c
20,"מתוקה בצורה בלתי רגילה, עדינה, הכי מתפנקת שיש ולמרות כל זאת, ג'סי ננטשה מבית עם לב כואב. כלבה של אהבה, כל כך טובה ומתמסרת, ננטשה כי מפחדת להשאר בבית לבדה ולכן ג'סי מחכה עכשיו למאמצים שעובדים מהבית או שיקחו אותם איתה לעבודה ואנחנו מבטיחים לכם, שאהבה כזאת, לא חוויתם מעולם..",ג'סי,6 שנים,01-03-2018,נקבה,בינוני,חום לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים, בית עם חתולים",https://www.letlive.org.il/wp-content/uploads/2024/03/gesi-5-1-330x330.jpg,https://www.letlive.org.il/?pet=%d7%92%d7%a1%d7%99-12
21,"הממרח הרשמי של הכלבייה! בתוך תוכו עוזי הוא בלונדינית שרוצה להנות מהחיים בלי הפסקה. בפועל, הוא מחכה כל כך הרבה שנים לבית, שהבלונדינית נכבית, כשהוא מאחורי הסורגים מחכה..הוא ממרח אמיתי של אהבה שמאוד סובל בלעדיה בכלבייה. הוא מתפנק בלי סוף, מאולף ומעלף, הוא לחוץ ממפגש עם אנשים חדשים אבל אין לתארר את האהבה שהוא מעניק כשהוא מכיר. עוזי לוקח חלק בפרויקט #אומנהלחיים אימוץ ללא עלות עבור הכלבים המבוגרם שלנו כשהטיפול הרפואי בבעיות הקשורות לגילו עלינו,  ו-2 שקי מזון מתנת ביופט.",עוזי,10 שנים,10-06-2013,זכר,בינוני,מנומר,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר",https://www.letlive.org.il/wp-content/uploads/2023/10/uzi-4-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a2%d7%95%d7%96%d7%99
22,את סאם היפהפיה נטשו מבית אחרי שנתיים כי רכושנית למזון. יפהפיה שריסקו לה את הלב וכעת מחכה למאמצים עם ניסיון כאלה שיבטיחו לה בית לא חשוב מה-בטוב וגם ברע!.,סאם,6 שנים,11-10-2017,נקבה,בינוני,לבן,מאולף,"מעורב, גולדן רטריבר","אנשים שכבר גדלו כלב בעבר, ספורטאים",https://www.letlive.org.il/wp-content/uploads/2023/05/sam-4-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a1%d7%90%d7%9d-2
23,"לונה הגיעה אלינו בגיל שנה, אומצה וחזרה כשנולד תינוק, שוב אומצה וחזרה כשלא הסתדרה עם החתולים ואחרי 8 שנים בכלוב, הגיע הזמן שתזכה לצאת מכאן לתמיד!! כלבה עדינה וכל כך טובה שהולכת לאיבוד בין מאות כלבים. לונה שלנו קצת חששנית ומתביישת במפגש ראשון ולכן כמעט ולא תראו אותה כשתעברו ליד הכלוב שלה. תעשו #מקוםבלב תגיעו אלינו ותבקשו להוציא אותה ולהכיר אותה, להעניק לה הזדמנות לחיים. לונה לוקחת חלק בפרוייקט #אומנהלחיים אימוץ ללא עלות עבור הכלבים המבוגרים שלנו, כשהטיפול הרפואי בבעיות הקשורות לגילה, עלינו, ושני שקי מזון גדולים מתנת ביופט.",לונה,11 שנים,01-02-2013,נקבה,בינוני,חום לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר",https://www.letlive.org.il/wp-content/uploads/2023/10/luna-1-330x330.jpg,https://www.letlive.org.il/?pet=%d7%9c%d7%95%d7%a0%d7%94-2
24,"נור נמצאה עם רגל מרוסקת, עם שברים פתוחים במצב גופני קשה ובעינייה הטובות, ממש התחננה מאנשים טובים, שיעזרו לה לשרוד. את הרגל של נור היה מאוחר מדי להציל. אבל אחרי אישפוז ארוך בו הגוף התחזק, היא עכשיו, על 3 רגליים, מחלק אהבה לכל מי שרק מבקש. אחרי המסע שעברה, מגיע לה להגיע לבית מפנק..",נור,שנה,07-03-2023,נקבה,בינוני,חום שחור,חינוך בסיסי,מלינוואה,"ילדים, ספורטאים",https://www.letlive.org.il/wp-content/uploads/2024/03/nur08-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a0%d7%95%d7%a8
25,"הכלבלב שיראה לכם את הקשת בענן! קשת המתוק, כלבלב אנרגטי ומקסים, שובב מלא שמחת חיים, שמחכה להרפתקאות ופינוקים בבית עם מאמצים לחיים שלמים.",קשת,4 שנים,10-10-2019,זכר,בינוני,חום לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים",https://www.letlive.org.il/wp-content/uploads/2023/06/keshet-1-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a7%d7%a9%d7%aa-3
26,"ריי הוא אחד הממרחים הכי מתוקים שיש. בתחילה הוא ננטש מבית בגלל אלרגיה..אחר כך ננטש כי היה טריטוריאלי בבית ועכשיו ריי רוצה להגיע לבית עם מאמצים מנוסים, שלא יחזירו אותו שוב לכלוב בחיים.",ריי,6 שנים,11-10-2017,זכר,בינוני,חום לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר",https://www.letlive.org.il/wp-content/uploads/2023/07/rei-5-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a8%d7%99%d7%99-2
27,"חביתוש עבר התעללות נוראית, הוא נמצא עם צוואר קרוע לגמרי, עור ועצמות, כלב שקיבל בחייו הרבה מכות ומה שבאמת עצוב, זה שעל כך הוא משלם בהמתנה ארוכה בכלוב..כי כשעוברים ליד הכלוב שלו הוא עושה את הפרצופים הכי מפחידים בעולם. נגלה לכם בסוד, שבתוך הכלב הגדול הזה מסתתר לב רגיש ומדמם שמחכה להזדמנות להירפא. הוא מאושר כשהוא יוצא לטיולים. נפתח כולו ומחלק כל כך הרבה חיוכים. חביתוש לוקח חלק בפרויקט #אומנהלחיים אימוץ ללא עלות עבור הכלבים המבוגרים שלנו, טיפולים רפואיים עלינו ושני שקי אוכל גדולים מתנת ביופט.",חביתוש,8 שנים,28-08-2015,זכר,גדול,חום,חינוך בסיסי,"מעורב, רועה קווקזי","אנשים שכבר גדלו כלב בעבר, ספורטאים",https://www.letlive.org.il/wp-content/uploads/2022/05/havitush-1-330x330.jpg,https://www.letlive.org.il/?pet=%d7%97%d7%91%d7%99%d7%aa%d7%95%d7%a9
28,"את ציזיקי הבובה אמצו ואז לכלוב נטשו כשעברו דירה. כלבלבונת מתוקה עם לב שבור, מחכה עכשיו להגיע לבית שיהפוך אותה לתמיד, לחלק מהמשפחה.",ציזיקי,שנה,02-08-2022,נקבה,בינוני,חום לבן,חינוך בסיסי,מעורב,"ילדים, ספורטאים",https://www.letlive.org.il/wp-content/uploads/2023/03/chiziki1-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a6%d7%99%d7%96%d7%99%d7%a7%d7%99
29,"פצועה בפצעי ירי, מהטבח הנורא שהתרחש בדרום. לונה הצליחה לברוח ולהציל את עצמה. היא נמצאה בכרם שלום ועברה אלינו מיד לטיפול רפואי. פיטבולית מהממת שעברה גיהנום ולצערנו, מי שהיו לה למשפחה, פונו מביתם והודיעו שהם לא מעוניינים לדאוג לה. היא עברה את תקופת האישפוז עם לב שבור, אבל עטפנו אותה באהבה והיא העניקה כמויות מכופלות של חיבוקים ואהבה בלי הפסקה. היו לה פצעים עמוקים בראש וברגלייה גם עדשת העין נפצעה וטופלה. עכשיו, כמו חדשה, לונה מחכה לבית שיבטיח להיות שלה, בטוב וגם ברע..",לונה,שנתיים,18-11-2021,נקבה,בינוני,אפור,חינוך בסיסי,פיטבול,"ילדים, ספורטאים",https://www.letlive.org.il/wp-content/uploads/2024/03/luna-11-330x330.jpg,https://www.letlive.org.il/?pet=%d7%9c%d7%95%d7%a0%d7%94-12
30,"את דליק הממתק נטשו מבית כי פחד להשאר לבד. כלב עדין ומתוק, מלא בשמחת חיים שרוצה עכשיו להגיע למאמצים שרוצים להפוך אותו לחלק מהמשפחה לתמיד.",דליק,3 שנים,23-10-2020,זכר,קטן,חום לבן,חינוך בסיסי,מעורב,"אנשים שכבר גדלו כלב בעבר, ילדים, ספורטאים",https://www.letlive.org.il/wp-content/uploads/2022/10/dalik-7-330x330.jpg,https://www.letlive.org.il/?pet=%d7%93%d7%9c%d7%99%d7%a7-4
31,"את נוגה האומללה אימצו בתור גורה ואחרי שבע שנים נטשו אותה כי נזכרו ""שלא מסתדרים איתה"". כדי לנסות להסתדר איתה, הסתובבו איתה עם קולר חשמלי. כלבה עדינה שלא נחשפה מספיק ולכן כשנלחצת עלולה להגיב לא טוב ולכן מחכה עכשיו למאמצים עם נסיון שבליווי המאלפים שלנו יעבדו איתה נכון ולא יחשמלו אותה ויגרמו לה לנזק כל כך גדול. נוגה לוקחת חלק בפרויקט #אומנהלחיים אימוץ ללא עלות, כולל טיפולים רפואיים בהתאם לגילה-עלינו ו-2 שקי מזון מתנת אורבן צ'ויס.",נוגה,7 שנים,02-03-2017,נקבה,בינוני,חום לבן,חינוך בסיסי,מעורב,"ספורטאים, אנשים שכבר גדלו כלב בעבר",https://www.letlive.org.il/wp-content/uploads/2024/03/noga-1-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a0%d7%95%d7%92%d7%94-3
32,"חתיך על, אנרגטי ומדהים, מוסקונה המהמם שלנו מחכה לרוץ למרחקים עם מישהו שיאהב לחיים שלמים. כלב חזק ומדהים, עמוס באהבה, חמוד אמיתי שימלא כל לב במלא אהבה.",מוסקונה,4 שנים,10-06-2019,זכר,גדול,שחור לבן,חינוך בסיסי,מעורב,"אנשים שכבר גדלו כלב בעבר, ילדים, ספורטאים",https://www.letlive.org.il/wp-content/uploads/2021/01/mus9000-330x330.jpg,https://www.letlive.org.il/?pet=%d7%9e%d7%95%d7%a1%d7%a7%d7%95%d7%a0%d7%94
33,"כלבלבון מתוקון, תומר המצחיקון, הכלבלב שתמיד שומר על מורל גבוה! כלבלב סופר חברותי ומקסים, עם לשון מצחיקה ואוזניים שמשדרות אנרגיה חיובית בלי הפסקה. תומר הגיע אלינו עם רגל כואבת, הוא טופל והחלים ורק מחכה למלא לכם את הלב והבית בחיוכים.",תומר,שנה,12-10-2022,נקבה,בינוני,חום,חינוך בסיסי,מעורב,"ילדים, ספורטאים",https://www.letlive.org.il/wp-content/uploads/2024/03/tomer-8-330x330.jpg,https://www.letlive.org.il/?pet=%d7%aa%d7%95%d7%9e%d7%a8-2
34,"כמה שהוא מחכה לאהבה! פופאי המהמם שלנו, כמעט ואי אפשר להאמין שעברו שנים מהיום שהגיע אלינו עור ועצמות, הוא היה אז בן פחות משנה והורעב למוות בצורה אכזרית נורא. שנים שהוא ממכה להתחלה חדשה. כלב מלא שמחת חיים, שכל כך אוהב לשחק ולהתפנק ובכלוב פשוט מתבזבז..פופאי לוקח חלק בפרויקט #אומנהלחיים אימוץ ללא עלות, כולל טיפולים רפואיים בהתאם לגילו-עלינו ו-2 שקי מזון גדולים מתנת אורבן צ'ויס.",פופאי,7 שנים,08-02-2017,זכר,בינוני,חום,חינוך בסיסי,"מעורב, מלינוואה","ספורטאים, אנשים שכבר גדלו כלב בעבר",https://www.letlive.org.il/wp-content/uploads/2020/10/popai92-330x330.jpg,https://www.letlive.org.il/?pet=%d7%a4%d7%95%d7%a4%d7%90%d7%99
35,"ג'וזפין המקסימה, נמצאה אחרי שעברה ניתוח כושל להסרת הרגל. לא רק שהניתוח כשל..הוא אפילו סיכן את חייה! במקום נוצר זיהום חמור, שהשתלט על כל הגוף והיא הגיע אלינו בסכנת חיים. היא אושפזה, התחזקה ועברה ניתוח נוסף. לראות אותה היום מתרוצצת והכי מחייכת, על 3 רגליים, זה פשוט אושר גדול! כלב עמוסה באנרגיה ואהבה, מחכה לבית המושלם.",ג'וזפין,4 שנים,13-08-2019,נקבה,בינוני,חום שחור,חינוך בסיסי,מלינוואה,"ילדים, ספורטאים",https://www.letlive.org.il/wp-content/uploads/2023/08/jozafin4-2-330x330.jpg,https://www.letlive.org.il/?pet=%d7%92%d7%95%d7%96%d7%a4%d7%99%d7%9f-2
